query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,90,6741,0,0,107,6592,198,369,0,0
1443664801,108,12198,0,0,141,11971,256,674,1,1
1443672001,153,20029,0,0,186,19709,346,1031,2,3
1443679201,207,28464,0,0,240,27975,457,1419,9,11
1443686401,300,40514,0,0,293,39767,569,2053,26,34
1443693601,366,54330,0,0,332,53390,647,2630,33,45
1443700801,492,65452,0,0,359,64378,700,3043,34,51
1443708001,443,73505,0,0,380,72345,736,3304,37,56
1443715201,527,81602,0,0,393,80306,768,3681,49,84
1443722401,547,86344,0,0,410,84965,800,3835,55,96
1443729601,573,91126,0,0,421,89665,830,4011,56,98
1443736801,770,96106,0,0,428,94570,844,4216,62,104
1443744001,657,101710,0,0,442,100095,870,4419,63,109
1443751201,649,106983,0,0,464,105307,907,4642,71,118
1443758401,704,114166,0,0,490,112370,951,4907,72,122
1443765601,779,124664,0,0,497,122773,967,5202,75,145
1443772801,842,131636,0,0,492,129746,986,5469,86,182
1443780001,851,136686,0,0,475,134774,998,5629,89,208
1443787201,869,138198,0,0,478,136255,1005,5744,87,215
1443794401,871,138551,0,0,473,136649,1026,5792,88,205
1443801601,848,136300,0,0,457,134443,1033,5733,80,199
1443808801,838,130397,0,0,446,128577,1042,5637,82,220
1443816001,828,125937,0,0,432,124158,1044,5568,84,219
1443823201,787,123111,0,0,434,121300,1052,5739,81,209
1443830401,783,120623,0,0,440,118855,1078,5830,75,172
1443837601,778,123243,0,0,444,121429,1093,6137,75,173
1443844801,808,126205,0,0,459,124349,1116,6477,72,173
1443852001,880,131672,0,0,478,129789,1151,6972,67,176
1443859201,867,134146,0,0,489,132204,1171,7426,75,188
1443866401,899,136382,0,0,524,134379,1235,7683,76,206
1443873601,2035,137763,0,0,520,135767,1260,7709,77,209
1443880801,1077,137219,0,0,533,135193,1304,7758,92,187
1443888001,943,132661,0,0,532,130630,1320,7794,71,139
1443895201,889,130017,0,0,551,127938,1363,7729,72,131
1443902401,891,127148,0,0,568,125078,1394,7789,65,119
1443909601,816,123461,0,0,560,121407,1400,7910,61,120
1443916801,799,118383,0,0,528,116486,1362,7839,54,94
1443924001,752,114782,0,0,510,112998,1344,7755,53,88
1443931201,745,112818,0,0,504,111067,1346,7874,53,96
1443938401,797,113794,0,0,489,112070,1342,7936,53,107
1443945601,879,117120,0,0,469,115374,1336,8105,56,117
1443952801,826,116948,0,0,459,115259,1338,8151,59,127
1443960001,779,114946,0,0,449,113307,1344,8000,61,131
1443967201,755,111614,0,0,434,109994,1351,7919,60,142
1443974401,797,110186,0,0,419,108619,1338,7835,48,159
1443981601,798,109475,0,0,372,107936,1323,8029,43,183
1443988801,819,107556,0,0,367,106021,1321,8297,50,200
1443996001,824,103083,0,0,344,101604,1295,8384,37,196
1444003201,801,98842,0,0,311,97438,1280,8260,34,188
1444010401,791,96158,0,0,275,94818,1260,8288,35,190
1444017601,869,95520,0,0,237,94225,1244,8362,35,200
1444024801,906,97839,0,0,233,96521,1261,8505,44,219
1444032001,961,104550,0,0,244,103111,1304,8741,55,248
1444039201,1059,110383,0,0,260,108878,1332,9036,61,272
1444046401,1045,111947,0,0,266,110438,1350,8972,65,274
1444053601,1051,113920,0,0,277,112399,1371,8793,69,273
1444060801,1041,114247,0,0,273,112706,1371,8679,71,296
1444068001,1084,115055,0,0,274,113485,1370,8658,74,310
1444075201,1098,115708,0,0,271,114111,1373,8684,63,298
1444082401,1032,114950,0,0,262,113308,1366,8545,62,279
1444089601,988,115301,0,0,256,113632,1366,8407,63,243
1444096801,967,118031,0,0,260,116364,1376,8283,64,211
1444104001,969,123564,0,0,253,121891,1380,8261,61,212
1444111201,1011,128438,0,0,251,126711,1394,8526,71,231
1444118401,1068,135164,0,0,257,133369,1410,8827,67,243
1444125601,1093,138467,0,0,264,136680,1427,9184,67,254
1444132801,1180,139332,0,0,266,137568,1429,9026,74,257
1444140001,1181,138573,0,0,256,136915,1416,8731,71,223
1444147201,1031,138641,0,0,250,137023,1402,8473,69,214
1444154401,995,138685,0,0,239,137080,1393,8493,71,215
1444161601,1040,140279,0,0,236,138649,1396,8778,71,208
1444168801,1059,141241,0,0,226,139637,1382,9115,68,196
1444176001,1028,140205,0,0,217,138658,1376,9193,65,176
1444183201,1177,139004,0,0,214,137505,1376,9224,64,162
1444190401,1068,141140,0,0,221,139630,1385,9460,68,179
1444197601,1072,146120,0,0,230,144604,1409,9710,66,186
1444204801,1129,153217,0,0,255,151644,1449,9969,75,230
1444212001,1186,163305,0,0,268,161635,1482,10304,77,235
1444219201,1156,165966,0,0,275,164268,1513,10292,97,253
1444226401,1237,168820,0,0,290,167163,1532,10092,100,253
1444233601,1210,170983,0,0,300,169284,1562,9854,98,247
