query time,processing time,input event instants,input state instances,input state intervals,input dynamic phe. instances,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,52,6747,0,0,0,0,107,6597,200,371,5,52
1443664801,39,5464,0,0,0,0,98,5386,217,449,11,93
1443672001,45,7845,0,0,0,0,104,7752,281,544,9,121
1443679201,58,8448,0,0,0,0,129,8279,349,619,18,95
1443686401,68,12060,0,0,0,0,145,11802,429,922,27,107
1443693601,87,13829,0,0,0,0,121,13636,449,920,14,105
1443700801,73,11127,0,0,0,0,112,10993,452,793,12,60
1443708001,60,8057,0,0,0,0,100,7971,455,659,11,41
1443715201,89,8113,0,0,0,0,101,7977,485,787,25,114
1443722401,63,4756,0,0,0,0,75,4673,483,583,12,40
1443729601,50,4790,0,0,0,0,70,4708,496,629,4,24
1443736801,55,4988,0,0,0,0,68,4913,493,667,10,35
1443744001,51,5617,0,0,0,0,70,5538,510,671,8,45
1443751201,54,5282,0,0,0,0,78,5221,530,705,11,59
1443758401,63,7196,0,0,0,0,103,7076,571,766,7,57
1443765601,73,10512,0,0,0,0,82,10417,568,818,19,82
1443772801,90,13721,0,0,0,0,111,13573,627,1016,33,130
1443780001,82,10525,0,0,0,0,94,10425,614,964,18,138
1443787201,76,9354,0,0,0,0,92,9230,632,995,23,133
1443794401,71,8797,0,0,0,0,99,8669,650,965,18,116
1443801601,79,9810,0,0,0,0,104,9597,695,1128,23,188
1443808801,77,7929,0,0,0,0,89,7773,697,1060,21,142
1443816001,70,6668,0,0,0,0,77,6575,690,973,11,107
1443823201,65,5239,0,0,0,0,84,5121,707,1095,9,140
1443830401,64,5616,0,0,0,0,87,5523,735,1134,9,170
1443837601,65,7378,0,0,0,0,90,7249,747,1146,8,142
1443844801,74,7756,0,0,0,0,92,7632,775,1232,11,183
1443852001,89,10459,0,0,0,0,109,10357,813,1445,15,240
1443859201,82,8084,0,0,0,0,106,7946,844,1417,21,179
1443866401,76,7517,0,0,0,0,138,7395,887,1244,19,168
1443873601,78,8577,0,0,0,0,114,8464,905,1101,20,76
1443880801,86,9968,0,0,0,0,123,9843,936,1204,25,89
1443888001,87,9167,0,0,0,0,116,9014,957,1392,19,207
1443895201,81,7882,0,0,0,0,117,7734,989,1240,14,97
1443902401,77,6482,0,0,0,0,109,6367,1010,1415,11,187
1443909601,105,5113,0,0,0,0,79,5001,1010,1451,11,188
1443916801,121,4726,0,0,0,0,62,4670,1001,1419,10,217
1443924001,124,4323,0,0,0,0,64,4280,1007,1316,11,160
1443931201,120,4711,0,0,0,0,66,4651,1015,1414,11,213
1443938401,105,6209,0,0,0,0,69,6118,1024,1469,14,194
1443945601,100,8955,0,0,0,0,77,8840,1037,1592,14,185
1443952801,92,7204,0,0,0,0,64,7132,1028,1464,13,193
1443960001,87,5751,0,0,0,0,69,5677,1033,1334,9,109
1443967201,88,7125,0,0,0,0,70,7042,1045,1604,7,194
1443974401,88,6656,0,0,0,0,64,6571,1056,1570,15,223
1443981601,92,6805,0,0,0,0,65,6711,1067,1641,13,241
1443988801,97,6652,0,0,0,0,67,6543,1077,1560,23,231
1443996001,117,5486,0,0,0,0,54,5417,1060,1460,14,180
1444003201,88,4917,0,0,0,0,55,4839,1068,1414,5,140
1444010401,88,5183,0,0,0,0,63,5099,1079,1387,11,121
1444017601,93,5840,0,0,0,0,57,5770,1076,1578,9,289
1444024801,97,7424,0,0,0,0,77,7289,1099,1664,17,262
1444032001,117,11437,0,0,0,0,98,11260,1142,1732,22,221
1444039201,118,10149,0,0,0,0,96,10040,1123,1686,21,204
1444046401,103,6266,0,0,0,0,83,6202,1108,1425,12,105
1444053601,110,8180,0,0,0,0,92,8077,1133,1371,17,101
1444060801,109,9267,0,0,0,0,90,9132,1141,1567,29,194
1444068001,108,8001,0,0,0,0,65,7900,1125,1541,13,180
1444075201,94,6401,0,0,0,0,63,6300,1118,1449,5,134
1444082401,81,6361,0,0,0,0,62,6233,1118,1551,11,166
1444089601,84,7005,0,0,0,0,58,6893,1131,1511,9,136
1444096801,93,9532,0,0,0,0,85,9440,1162,1595,10,145
1444104001,107,12182,0,0,0,0,65,12067,1153,1662,6,181
1444111201,111,10360,0,0,0,0,78,10237,1179,1803,20,241
1444118401,109,11643,0,0,0,0,89,11497,1196,1795,24,241
1444125601,108,8486,0,0,0,0,94,8410,1198,1832,28,272
1444132801,89,6705,0,0,0,0,77,6658,1191,1518,19,156
1444140001,87,6665,0,0,0,0,73,6636,1188,1471,9,123
1444147201,112,11504,0,0,0,0,89,11367,1217,1566,23,118
1444154401,142,10193,0,0,0,0,73,10097,1200,1798,19,159
1444161601,143,7860,0,0,0,0,68,7771,1199,1875,10,250
1444168801,137,9143,0,0,0,0,67,9066,1203,1801,7,230
1444176001,134,8230,0,0,0,0,65,8152,1200,1734,8,193
1444183201,120,6802,0,0,0,0,77,6749,1215,1662,14,191
1444190401,102,8541,0,0,0,0,87,8429,1224,1785,21,227
1444197601,115,11341,0,0,0,0,90,11207,1239,1882,14,234
1444204801,130,14102,0,0,0,0,121,13933,1276,1836,33,222
1444212001,148,19623,0,0,0,0,114,19434,1265,1942,16,160
1444219201,151,14843,0,0,0,0,108,14700,1283,1711,32,98
1444226401,137,13362,0,0,0,0,116,13278,1289,1692,21,68
1444233601,140,14580,0,0,0,0,111,14391,1316,1643,31,108
1444240801,122,12110,0,0,0,0,93,11996,1290,1614,23,125
1444248001,128,12419,0,0,0,0,104,12298,1308,1938,23,244
1444255201,113,11111,0,0,0,0,96,11017,1298,1804,14,228
1444262401,103,8459,0,0,0,0,79,8374,1302,1630,25,123
1444269601,109,9534,0,0,0,0,105,9443,1336,1807,34,127
1444276801,103,10485,0,0,0,0,92,10383,1320,1993,13,268
1444284001,107,11853,0,0,0,0,106,11712,1360,1961,36,202
1444291201,117,11830,0,0,0,0,129,11670,1391,2298,35,357
1444298401,128,13247,0,0,0,0,134,13112,1395,2086,52,276
1444305601,145,12496,0,0,0,0,117,12360,1396,1971,36,227
1444312801,117,13769,0,0,0,0,120,13656,1411,2028,30,212
1444320001,119,14741,0,0,0,0,135,14543,1432,1948,40,193
1444327201,105,9853,0,0,0,0,99,9728,1412,1680,17,130
1444334401,102,7700,0,0,0,0,104,7613,1424,1715,37,176
1444341601,94,7137,0,0,0,0,97,7067,1414,1782,19,208
1444348801,97,6978,0,0,0,0,105,6899,1432,2018,36,270
1444356001,101,7903,0,0,0,0,111,7811,1459,2029,47,315
1444363201,97,7005,0,0,0,0,88,6925,1439,1937,31,290
1444370401,96,8116,0,0,0,0,89,8030,1458,1784,27,112
1444377601,103,9276,0,0,0,0,90,9196,1471,1866,32,144
1444384801,106,10141,0,0,0,0,96,10045,1482,1840,23,126
1444392001,106,9533,0,0,0,0,85,9467,1466,1769,22,81
1444399201,109,9009,0,0,0,0,103,8939,1499,1803,30,147
1444406401,109,10483,0,0,0,0,86,10330,1508,1834,37,163
1444413601,102,6890,0,0,0,0,70,6810,1487,1606,12,27
1444420801,93,6045,0,0,0,0,78,5975,1508,1672,11,72
1444428001,85,3876,0,0,0,0,81,3826,1516,1712,6,95
1444435201,90,3724,0,0,0,0,66,3689,1525,1744,8,169
1444442401,90,5003,0,0,0,0,82,4955,1550,1654,12,21
1444449601,92,4498,0,0,0,0,60,4474,1528,1806,7,222
1444456801,88,3975,0,0,0,0,71,3931,1549,1657,9,55
1444464001,95,4876,0,0,0,0,100,4811,1591,1767,12,119
1444471201,94,5338,0,0,0,0,83,5290,1588,1815,15,93
1444478401,105,7890,0,0,0,0,87,7828,1607,1889,23,108
1444485601,99,7404,0,0,0,0,108,7304,1642,1866,12,34
1444492801,104,7924,0,0,0,0,108,7821,1658,2006,18,173
1444500001,104,5700,0,0,0,0,79,5627,1646,1801,15,47
1444507201,98,6472,0,0,0,0,69,6420,1659,1849,9,84
1444514401,99,5723,0,0,0,0,73,5674,1666,2017,9,203
1444521601,99,5275,0,0,0,0,62,5240,1671,1943,10,241
1444528801,102,5187,0,0,0,0,89,5129,1697,1868,20,77
1444536001,104,5106,0,0,0,0,67,5071,1685,1945,10,176
1444543201,99,5323,0,0,0,0,65,5283,1693,1858,12,117
1444550401,101,5737,0,0,0,0,77,5661,1719,1986,16,179
1444557601,99,5895,0,0,0,0,70,5852,1720,1923,8,73
1444564801,104,5290,0,0,0,0,85,5229,1751,1885,25,71
1444572001,100,5376,0,0,0,0,82,5300,1756,1893,13,23
1444579201,102,6523,0,0,0,0,83,6440,1763,1954,13,107
1444586401,99,4620,0,0,0,0,72,4582,1758,1847,15,19
1444593601,104,3995,0,0,0,0,76,3957,1777,1939,34,130
1444600801,100,4386,0,0,0,0,81,4336,1780,1975,13,72
1444608001,104,4454,0,0,0,0,78,4392,1783,2012,27,217
1444615201,105,6145,0,0,0,0,104,6033,1821,1951,20,37
1444622401,197,7478,0,0,0,0,92,7377,1820,2120,24,243
1444629601,155,8198,0,0,0,0,145,8054,1883,2112,44,124
1444636801,183,12648,0,0,0,0,160,12426,1920,2569,56,390
1444644001,187,14635,0,0,0,0,141,14423,1904,2705,35,365
1444651201,182,11955,0,0,0,0,125,11859,1890,2282,24,143
1444658401,186,12370,0,0,0,0,129,12288,1916,2371,36,157
1444665601,180,11125,0,0,0,0,106,10975,1927,2328,36,177
1444672801,175,9039,0,0,0,0,85,8959,1906,2118,20,90
1444680001,188,8722,0,0,0,0,101,8624,1937,2187,49,168
1444687201,179,7964,0,0,0,0,126,7896,1957,2293,42,186
1444694401,181,7364,0,0,0,0,86,7311,1949,2312,36,246
1444701601,168,5778,0,0,0,0,70,5748,1938,2131,22,70
1444708801,175,6705,0,0,0,0,79,6654,1955,2427,22,299
1444716001,191,7919,0,0,0,0,88,7849,1964,2306,56,188
1444723201,206,9308,0,0,0,0,96,9228,1982,2712,42,527
1444730401,196,11439,0,0,0,0,100,11225,1969,2665,26,308
1444737601,193,9693,0,0,0,0,95,9522,1970,2418,25,111
1444744801,196,9121,0,0,0,0,90,9037,1956,2286,18,102
1444752001,204,9997,0,0,0,0,99,9869,1981,2380,34,151
1444759201,189,9212,0,0,0,0,75,9126,1974,2262,21,113
1444766401,186,7285,0,0,0,0,85,7220,1978,2283,21,167
1444773601,190,6680,0,0,0,0,83,6621,1983,2347,24,167
1444780801,197,6293,0,0,0,0,69,6258,1974,2385,20,256
1444788001,188,7378,0,0,0,0,86,7306,2001,2332,24,144
1444795201,191,5765,0,0,0,0,85,5712,2003,2533,28,285
1444802401,204,6836,0,0,0,0,88,6761,2015,2334,25,169
1444809601,209,8087,0,0,0,0,86,8009,2020,2520,27,301
1444816801,233,9252,0,0,0,0,91,9164,2018,2391,23,152
1444824001,228,9252,0,0,0,0,85,9139,2029,2316,19,82
1444831201,198,10481,0,0,0,0,95,10389,2042,2449,21,136
1444838401,199,9991,0,0,0,0,92,9870,2046,2403,22,130
1444845601,195,9445,0,0,0,0,87,9347,2040,2335,28,120
1444852801,188,6830,0,0,0,0,93,6754,2051,2404,30,187
1444860001,189,6254,0,0,0,0,86,6207,2061,2393,13,105
1444867201,181,4647,0,0,0,0,86,4592,2055,2285,8,68
1444874401,181,4671,0,0,0,0,76,4637,2048,2288,12,96
1444881601,187,5033,0,0,0,0,81,4990,2070,2484,22,226
1444888801,184,6327,0,0,0,0,86,6277,2085,2339,23,114
1444896001,208,10489,0,0,0,0,119,10342,2128,2846,56,340
1444903201,207,10719,0,0,0,0,118,10605,2110,2741,34,174
1444910401,202,9482,0,0,0,0,108,9410,2095,2482,28,114
1444917601,212,10244,0,0,0,0,107,10120,2102,2467,22,95
1444924801,204,9844,0,0,0,0,99,9711,2098,2460,29,162
1444932001,200,7066,0,0,0,0,76,7018,2087,2480,25,169
1444939201,198,6180,0,0,0,0,66,6152,2067,2412,21,182
1444946401,200,5167,0,0,0,0,71,5126,2073,2433,18,154
1444953601,217,4871,0,0,0,0,69,4832,2070,2465,14,169
1444960801,264,4293,0,0,0,0,61,4272,2066,2327,20,112
1444968001,245,5217,0,0,0,0,75,5174,2088,2573,17,237
1444975201,223,8666,0,0,0,0,73,8576,2095,2765,19,312
1444982401,226,9678,0,0,0,0,82,9573,2107,2715,26,251
1444989601,233,9496,0,0,0,0,95,9390,2119,2759,28,324
1444996801,224,7951,0,0,0,0,80,7869,2099,2468,16,103
1445004001,229,8638,0,0,0,0,80,8577,2104,2502,19,137
1445011201,248,9368,0,0,0,0,87,9259,2129,2520,25,103
1445018401,264,7659,0,0,0,0,67,7596,2102,2453,15,119
1445025601,219,4341,0,0,0,0,53,4297,2103,2303,10,89
1445032801,209,2967,0,0,0,0,51,2958,2100,2255,6,76
1445040001,227,3178,0,0,0,0,48,3164,2100,2299,3,97
1445047201,213,3325,0,0,0,0,53,3305,2105,2268,6,71
1445054401,245,3283,0,0,0,0,66,3254,2121,2346,13,113
1445061601,214,4743,0,0,0,0,62,4712,2114,2483,9,122
1445068801,217,6044,0,0,0,0,74,6003,2132,2401,19,112
1445076001,217,5957,0,0,0,0,65,5920,2123,2323,14,77
1445083201,215,4078,0,0,0,0,59,4054,2107,2279,4,71
1445090401,231,4463,0,0,0,0,56,4437,2114,2285,12,86
1445097601,292,4836,0,0,0,0,61,4808,2125,2282,9,53
1445104801,257,6132,0,0,0,0,56,6111,2121,2444,10,110
1445112001,139,5443,0,0,0,0,67,5413,2134,2342,7,72
1445119201,143,6389,0,0,0,0,61,6340,2132,2379,5,89
1445126401,148,3720,0,0,0,0,58,3680,2140,2325,5,87
1445133601,141,2345,0,0,0,0,55,2326,2140,2269,7,64
1445140801,143,4696,0,0,0,0,68,4661,2156,2383,6,101
